lambda       C_ext/H       K_abs
(micron)     (cm^2/H)     (cm^2/g)
---------    ---------    --line-------
1.995E+00    6.032E-23    1.316E+03
2.007E+00    5.986E-23    1.309E+03
2.018E+00    5.941E-23    1.302E+03
2.030E+00    5.896E-23    1.296E+03
2.042E+00    5.851E-23    1.289E+03
2.054E+00    5.808E-23    1.282E+03
2.065E+00    5.765E-23    1.276E+03
2.077E+00    5.722E-23    1.269E+03
2.089E+00    5.680E-23    1.263E+03
2.101E+00    5.638E-23    1.257E+03
2.113E+00    5.597E-23    1.250E+03
2.126E+00    5.557E-23    1.244E+03
2.138E+00    5.516E-23    1.238E+03
2.150E+00    5.477E-23    1.231E+03
2.163E+00    5.437E-23    1.225E+03
2.175E+00    5.399E-23    1.219E+03
2.188E+00    5.361E-23    1.213E+03
2.200E+00    5.323E-23    1.207E+03
2.213E+00    5.286E-23    1.201E+03
2.226E+00    5.249E-23    1.195E+03
2.239E+00    5.213E-23    1.189E+03
2.252E+00    5.177E-23    1.183E+03
2.265E+00    5.142E-23    1.177E+03
2.278E+00    5.107E-23    1.171E+03
2.291E+00    5.073E-23    1.165E+03
2.304E+00    5.038E-23    1.159E+03
2.317E+00    5.005E-23    1.154E+03
2.331E+00    4.971E-23    1.148E+03
2.344E+00    4.938E-23    1.142E+03
2.358E+00    4.906E-23    1.137E+03
2.371E+00    4.874E-23    1.131E+03
2.385E+00    4.842E-23    1.125E+03
2.399E+00    4.810E-23    1.120E+03
2.413E+00    4.779E-23    1.114E+03
2.427E+00    4.748E-23    1.109E+03
2.441E+00    4.718E-23    1.103E+03
2.455E+00    4.688E-23    1.098E+03
2.469E+00    4.658E-23    1.092E+03
2.483E+00    4.628E-23    1.087E+03
2.497E+00    4.599E-23    1.081E+03
2.512E+00    4.571E-23    1.076E+03
2.526E+00    4.542E-23    1.071E+03
2.541E+00    4.514E-23    1.066E+03
2.556E+00    4.487E-23    1.060E+03
2.570E+00    4.459E-23    1.055E+03
2.585E+00    4.432E-23    1.050E+03
2.600E+00    4.405E-23    1.045E+03
2.615E+00    4.378E-23    1.040E+03
2.630E+00    4.352E-23    1.035E+03
2.645E+00    4.326E-23    1.030E+03
2.661E+00    4.300E-23    1.025E+03
2.676E+00    4.274E-23    1.020E+03
2.692E+00    4.249E-23    1.015E+03
2.707E+00    4.224E-23    1.010E+03
2.723E+00    4.199E-23    1.005E+03
2.738E+00    4.175E-23    9.999E+02
2.754E+00    4.150E-23    9.950E+02
2.770E+00    4.126E-23    9.903E+02
2.786E+00    4.102E-23    9.855E+02
2.802E+00    4.079E-23    9.807E+02
2.818E+00    4.055E-23    9.760E+02
2.835E+00    4.032E-23    9.712E+02
2.851E+00    4.009E-23    9.666E+02
2.867E+00    3.986E-23    9.620E+02
2.884E+00    3.964E-23    9.573E+02
2.901E+00    3.941E-23    9.527E+02
2.917E+00    3.919E-23    9.482E+02
2.934E+00    3.897E-23    9.437E+02
2.951E+00    3.875E-23    9.391E+02
2.968E+00    3.854E-23    9.346E+02
2.985E+00    3.832E-23    9.302E+02
3.003E+00    3.811E-23    9.258E+02
3.020E+00    3.790E-23    9.214E+02
3.037E+00    3.770E-23    9.170E+02
3.055E+00    3.749E-23    9.126E+02
3.073E+00    3.729E-23    9.083E+02
3.090E+00    3.708E-23    9.041E+02
3.108E+00    3.688E-23    8.998E+02
3.126E+00    3.669E-23    8.957E+02
3.144E+00    3.649E-23    8.915E+02
3.162E+00    3.629E-23    8.856E+02
3.181E+00    3.611E-23    8.834E+02
3.199E+00    3.592E-23    8.795E+02
3.217E+00    3.573E-23    8.756E+02
3.236E+00    3.555E-23    8.719E+02
3.255E+00    3.538E-23    8.687E+02
3.273E+00    3.522E-23    8.666E+02
3.292E+00    3.513E-23    8.675E+02
3.311E+00    3.492E-23    8.623E+02
3.330E+00    3.466E-23    8.539E+02
3.350E+00    3.445E-23    8.484E+02
3.369E+00    3.426E-23    8.438E+02
3.388E+00    3.407E-23    8.394E+02
3.408E+00    3.389E-23    8.353E+02
3.428E+00    3.371E-23    8.312E+02
3.447E+00    3.354E-23    8.273E+02
3.467E+00    3.336E-23    8.233E+02
3.487E+00    3.319E-23    8.193E+02
3.508E+00    3.301E-23    8.153E+02
3.528E+00    3.284E-23    8.115E+02
3.548E+00    3.267E-23    8.076E+02
3.569E+00    3.250E-23    8.037E+02
3.589E+00    3.233E-23    7.999E+02
3.610E+00    3.216E-23    7.960E+02
3.631E+00    3.200E-23    7.923E+02
3.652E+00    3.183E-23    7.885E+02
3.673E+00    3.167E-23    7.848E+02
3.694E+00    3.151E-23    7.810E+02
3.715E+00    3.134E-23    7.773E+02
3.737E+00    3.118E-23    7.737E+02
3.758E+00    3.102E-23    7.700E+02
3.780E+00    3.087E-23    7.663E+02
3.802E+00    3.071E-23    7.627E+02
3.824E+00    3.055E-23    7.591E+02
3.846E+00    3.040E-23    7.555E+02
3.868E+00    3.024E-23    7.519E+02
3.890E+00    3.009E-23    7.483E+02
3.913E+00    2.993E-23    7.447E+02
3.936E+00    2.978E-23    7.413E+02
3.958E+00    2.963E-23    7.378E+02
3.981E+00    2.948E-23    7.342E+02
4.004E+00    2.933E-23    7.307E+02
4.027E+00    2.918E-23    7.272E+02
4.050E+00    2.903E-23    7.238E+02
4.074E+00    2.889E-23    7.204E+02
4.097E+00    2.874E-23    7.169E+02
4.121E+00    2.860E-23    7.134E+02
4.145E+00    2.845E-23    7.100E+02
4.169E+00    2.831E-23    7.066E+02
4.193E+00    2.816E-23    7.031E+02
4.217E+00    2.802E-23    6.997E+02
4.241E+00    2.787E-23    6.962E+02
4.266E+00    2.773E-23    6.929E+02
4.290E+00    2.759E-23    6.895E+02
4.315E+00    2.745E-23    6.862E+02
4.340E+00    2.731E-23    6.828E+02
4.365E+00    2.717E-23    6.795E+02
4.390E+00    2.703E-23    6.762E+02
4.416E+00    2.690E-23    6.729E+02
4.441E+00    2.676E-23    6.697E+02
4.467E+00    2.663E-23    6.665E+02
4.493E+00    2.649E-23    6.633E+02
4.519E+00    2.636E-23    6.602E+02
4.545E+00    2.623E-23    6.571E+02
4.571E+00    2.609E-23    6.539E+02
4.597E+00    2.596E-23    6.508E+02
4.624E+00    2.583E-23    6.478E+02
4.651E+00    2.570E-23    6.448E+02
4.677E+00    2.558E-23    6.418E+02
4.704E+00    2.545E-23    6.388E+02
4.732E+00    2.532E-23    6.359E+02
4.759E+00    2.519E-23    6.330E+02
4.786E+00    2.507E-23    6.301E+02
4.814E+00    2.495E-23    6.272E+02
4.842E+00    2.482E-23    6.244E+02
4.870E+00    2.470E-23    6.217E+02
4.898E+00    2.458E-23    6.190E+02
4.926E+00    2.446E-23    6.162E+02
4.955E+00    2.434E-23    6.135E+02
4.983E+00    2.422E-23    6.109E+02
5.012E+00    2.410E-23    6.083E+02
5.041E+00    2.399E-23    6.056E+02
5.070E+00    2.387E-23    6.030E+02
5.099E+00    2.376E-23    6.004E+02
5.129E+00    2.364E-23    5.979E+02
5.158E+00    2.353E-23    5.954E+02
5.188E+00    2.342E-23    5.929E+02
5.218E+00    2.331E-23    5.905E+02
5.248E+00    2.320E-23    5.881E+02
5.278E+00    2.309E-23    5.858E+02
5.309E+00    2.298E-23    5.835E+02
5.339E+00    2.287E-23    5.813E+02
5.370E+00    2.277E-23    5.791E+02
5.401E+00    2.266E-23    5.769E+02
5.433E+00    2.256E-23    5.748E+02
5.464E+00    2.246E-23    5.728E+02
5.495E+00    2.235E-23    5.708E+02
5.527E+00    2.225E-23    5.688E+02
5.559E+00    2.216E-23    5.670E+02
5.591E+00    2.206E-23    5.652E+02
5.623E+00    2.196E-23    5.635E+02
5.656E+00    2.187E-23    5.619E+02
5.689E+00    2.178E-23    5.603E+02
5.721E+00    2.169E-23    5.589E+02
5.754E+00    2.160E-23    5.576E+02
5.788E+00    2.152E-23    5.564E+02
5.821E+00    2.144E-23    5.554E+02
5.855E+00    2.136E-23    5.546E+02
5.888E+00    2.129E-23    5.540E+02
5.922E+00    2.122E-23    5.539E+02
5.957E+00    2.117E-23    5.541E+02
5.991E+00    2.112E-23    5.550E+02
6.026E+00    2.109E-23    5.566E+02
6.060E+00    2.107E-23    5.592E+02
6.095E+00    2.108E-23    5.628E+02
6.131E+00    2.109E-23    5.670E+02
6.166E+00    2.109E-23    5.703E+02
6.202E+00    2.104E-23    5.707E+02
6.237E+00    2.091E-23    5.671E+02
6.273E+00    2.074E-23    5.604E+02
6.310E+00    2.054E-23    5.534E+02
6.346E+00    2.038E-23    5.478E+02
6.383E+00    2.023E-23    5.423E+02
6.419E+00    2.009E-23    5.377E+02
6.457E+00    1.996E-23    5.339E+02
6.494E+00    1.984E-23    5.306E+02
6.531E+00    1.973E-23    5.278E+02
6.569E+00    1.963E-23    5.252E+02
6.607E+00    1.953E-23    5.229E+02
6.645E+00    1.943E-23    5.208E+02
6.683E+00    1.934E-23    5.188E+02
6.722E+00    1.925E-23    5.170E+02
6.761E+00    1.916E-23    5.152E+02
6.800E+00    1.907E-23    5.136E+02
6.839E+00    1.899E-23    5.121E+02
6.879E+00    1.891E-23    5.109E+02
6.918E+00    1.883E-23    5.097E+02
6.958E+00    1.876E-23    5.088E+02
6.998E+00    1.870E-23    5.083E+02
7.039E+00    1.864E-23    5.082E+02
7.079E+00    1.859E-23    5.084E+02
7.120E+00    1.854E-23    5.087E+02
7.161E+00    1.850E-23    5.101E+02
7.203E+00    1.849E-23    5.125E+02
7.244E+00    1.850E-23    5.162E+02
7.286E+00    1.854E-23    5.211E+02
7.328E+00    1.858E-23    5.265E+02
7.371E+00    1.866E-23    5.340E+02
7.413E+00    1.878E-23    5.439E+02
7.456E+00    1.895E-23    5.562E+02
7.499E+00    1.916E-23    5.706E+02
7.542E+00    1.940E-23    5.875E+02
7.586E+00    1.971E-23    6.073E+02
7.630E+00    2.005E-23    6.295E+02
7.674E+00    2.043E-23    6.536E+02
7.718E+00    2.084E-23    6.792E+02
7.762E+00    2.128E-23    7.065E+02
7.807E+00    2.177E-23    7.367E+02
7.852E+00    2.232E-23    7.700E+02
7.898E+00    2.293E-23    8.068E+02
7.943E+00    2.361E-23    8.474E+02
7.989E+00    2.436E-23    8.921E+02
8.035E+00    2.521E-23    9.422E+02
8.082E+00    2.614E-23    9.967E+02
8.128E+00    2.714E-23    1.055E+03
8.175E+00    2.821E-23    1.117E+03
8.222E+00    2.935E-23    1.184E+03
8.270E+00    3.054E-23    1.253E+03
8.318E+00    3.157E-23    1.312E+03
8.366E+00    3.258E-23    1.371E+03
8.414E+00    3.352E-23    1.426E+03
8.463E+00    3.440E-23    1.478E+03
8.511E+00    3.526E-23    1.528E+03
8.561E+00    3.613E-23    1.579E+03
8.610E+00    3.699E-23    1.630E+03
8.660E+00    3.791E-23    1.683E+03
8.710E+00    3.889E-23    1.741E+03
8.760E+00    3.997E-23    1.803E+03
8.810E+00    4.116E-23    1.872E+03
8.861E+00    4.246E-23    1.947E+03
8.913E+00    4.385E-23    2.027E+03
8.964E+00    4.528E-23    2.109E+03
9.016E+00    4.676E-23    2.193E+03
9.068E+00    4.819E-23    2.276E+03
9.120E+00    4.957E-23    2.355E+03
9.173E+00    5.081E-23    2.427E+03
9.226E+00    5.189E-23    2.489E+03
9.279E+00    5.276E-23    2.540E+03
9.333E+00    5.340E-23    2.578E+03
9.386E+00    5.380E-23    2.602E+03
9.441E+00    5.394E-23    2.613E+03
9.495E+00    5.387E-23    2.612E+03
9.550E+00    5.360E-23    2.599E+03
9.605E+00    5.318E-23    2.578E+03
9.661E+00    5.260E-23    2.549E+03
9.716E+00    5.194E-23    2.515E+03
9.772E+00    5.127E-23    2.480E+03
9.829E+00    5.061E-23    2.446E+03
9.886E+00    4.997E-23    2.413E+03
9.943E+00    4.935E-23    2.381E+03
1.000E+01    4.876E-23    2.350E+03
1.006E+01    4.822E-23    2.323E+03
1.012E+01    4.767E-23    2.295E+03
1.017E+01    4.712E-23    2.267E+03
1.023E+01    4.654E-23    2.237E+03
1.029E+01    4.589E-23    2.204E+03
1.035E+01    4.516E-23    2.165E+03
1.041E+01    4.430E-23    2.120E+03
1.047E+01    4.337E-23    2.071E+03
1.053E+01    4.236E-23    2.017E+03
1.059E+01    4.133E-23    1.962E+03
1.065E+01    4.031E-23    1.908E+03
1.072E+01    3.932E-23    1.856E+03
1.078E+01    3.842E-23    1.808E+03
1.084E+01    3.756E-23    1.763E+03
1.090E+01    3.676E-23    1.721E+03
1.096E+01    3.601E-23    1.682E+03
1.103E+01    3.529E-23    1.644E+03
1.109E+01    3.459E-23    1.608E+03
1.116E+01    3.389E-23    1.572E+03
1.122E+01    3.322E-23    1.538E+03
1.128E+01    3.256E-23    1.503E+03
1.135E+01    3.187E-23    1.468E+03
1.142E+01    3.117E-23    1.433E+03
1.148E+01    3.043E-23    1.405E+03
1.155E+01    3.032E-23    1.379E+03
1.161E+01    2.947E-23    1.337E+03
1.168E+01    2.886E-23    1.307E+03
1.175E+01    2.826E-23    1.276E+03
1.182E+01    2.766E-23    1.245E+03
1.189E+01    2.706E-23    1.215E+03
1.195E+01    2.646E-23    1.184E+03
1.202E+01    2.586E-23    1.153E+03
1.209E+01    2.528E-23    1.124E+03
1.216E+01    2.473E-23    1.095E+03
1.223E+01    2.423E-23    1.069E+03
1.230E+01    2.375E-23    1.045E+03
1.237E+01    2.330E-23    1.022E+03
1.245E+01    2.283E-23    9.981E+02
1.252E+01    2.236E-23    9.745E+02
1.259E+01    2.191E-23    9.514E+02
1.266E+01    2.146E-23    9.286E+02
1.274E+01    2.101E-23    9.058E+02
1.281E+01    2.057E-23    8.837E+02
1.288E+01    2.015E-23    8.622E+02
1.296E+01    1.975E-23    8.422E+02
1.303E+01    1.938E-23    8.236E+02
1.311E+01    1.902E-23    8.057E+02
1.318E+01    1.867E-23    7.887E+02
1.326E+01    1.833E-23    7.713E+02
1.334E+01    1.799E-23    7.546E+02
1.341E+01    1.766E-23    7.386E+02
1.349E+01    1.735E-23    7.233E+02
1.357E+01    1.705E-23    7.087E+02
1.365E+01    1.678E-23    6.954E+02
1.372E+01    1.652E-23    6.834E+02
1.380E+01    1.630E-23    6.730E+02
1.388E+01    1.612E-23    6.648E+02
1.396E+01    1.597E-23    6.584E+02
1.404E+01    1.585E-23    6.537E+02
1.413E+01    1.577E-23    6.511E+02
1.421E+01    1.572E-23    6.505E+02
1.429E+01    1.570E-23    6.514E+02
1.437E+01    1.571E-23    6.539E+02
1.445E+01    1.575E-23    6.577E+02
1.454E+01    1.580E-23    6.625E+02
1.462E+01    1.587E-23    6.683E+02
1.471E+01    1.596E-23    6.752E+02
1.479E+01    1.606E-23    6.825E+02
1.488E+01    1.615E-23    6.897E+02
1.496E+01    1.625E-23    6.971E+02
1.505E+01    1.636E-23    7.048E+02
1.514E+01    1.647E-23    7.127E+02
1.522E+01    1.658E-23    7.210E+02
1.531E+01    1.671E-23    7.297E+02
1.540E+01    1.684E-23    7.386E+02
1.549E+01    1.697E-23    7.478E+02
1.558E+01    1.711E-23    7.573E+02
1.567E+01    1.725E-23    7.670E+02
1.576E+01    1.740E-23    7.769E+02
1.585E+01    1.755E-23    7.870E+02
1.594E+01    1.770E-23    7.972E+02
1.603E+01    1.786E-23    8.075E+02
1.613E+01    1.802E-23    8.180E+02
1.622E+01    1.819E-23    8.290E+02
1.631E+01    1.839E-23    8.420E+02
1.641E+01    1.865E-23    8.578E+02
1.650E+01    1.870E-23    8.622E+02
1.660E+01    1.881E-23    8.699E+02
1.669E+01    1.894E-23    8.790E+02
1.679E+01    1.907E-23    8.880E+02
1.688E+01    1.920E-23    8.966E+02
1.698E+01    1.932E-23    9.047E+02
1.708E+01    1.943E-23    9.126E+02
1.718E+01    1.954E-23    9.200E+02
1.728E+01    1.964E-23    9.273E+02
1.738E+01    1.974E-23    9.342E+02
1.748E+01    1.983E-23    9.405E+02
1.758E+01    1.990E-23    9.461E+02
1.768E+01    1.996E-23    9.511E+02
1.778E+01    2.001E-23    9.550E+02
1.789E+01    2.004E-23    9.581E+02
1.799E+01    2.006E-23    9.607E+02
1.809E+01    2.008E-23    9.633E+02
1.820E+01    2.010E-23    9.659E+02
1.830E+01    2.007E-23    9.655E+02
1.841E+01    1.998E-23    9.620E+02
1.851E+01    1.989E-23    9.583E+02
1.862E+01    1.980E-23    9.546E+02
1.873E+01    1.970E-23    9.504E+02
1.884E+01    1.958E-23    9.453E+02
1.895E+01    1.945E-23    9.395E+02
1.905E+01    1.931E-23    9.328E+02
1.916E+01    1.916E-23    9.255E+02
1.928E+01    1.899E-23    9.175E+02
1.939E+01    1.881E-23    9.089E+02
1.950E+01    1.863E-23    8.997E+02
1.961E+01    1.843E-23    8.900E+02
1.972E+01    1.822E-23    8.799E+02
1.984E+01    1.801E-23    8.694E+02
1.995E+01    1.780E-23    8.586E+02
2.007E+01    1.758E-23    8.477E+02
2.018E+01    1.737E-23    8.370E+02
2.030E+01    1.715E-23    8.264E+02
2.042E+01    1.696E-23    8.170E+02
2.054E+01    1.679E-23    8.084E+02
2.065E+01    1.662E-23    8.003E+02
2.077E+01    1.646E-23    7.923E+02
2.089E+01    1.630E-23    7.846E+02
2.101E+01    1.614E-23    7.771E+02
2.113E+01    1.598E-23    7.693E+02
2.126E+01    1.581E-23    7.607E+02
2.138E+01    1.562E-23    7.515E+02
2.150E+01    1.544E-23    7.424E+02
2.163E+01    1.526E-23    7.338E+02
2.175E+01    1.510E-23    7.255E+02
2.188E+01    1.494E-23    7.177E+02
2.200E+01    1.478E-23    7.099E+02
2.213E+01    1.462E-23    7.021E+02
2.226E+01    1.445E-23    6.938E+02
2.239E+01    1.428E-23    6.856E+02
2.252E+01    1.412E-23    6.775E+02
2.265E+01    1.397E-23    6.701E+02
2.278E+01    1.383E-23    6.631E+02
2.291E+01    1.369E-23    6.564E+02
2.304E+01    1.356E-23    6.501E+02
2.317E+01    1.343E-23    6.438E+02
2.331E+01    1.329E-23    6.375E+02
2.344E+01    1.316E-23    6.309E+02
2.358E+01    1.302E-23    6.242E+02
2.371E+01    1.289E-23    6.175E+02
2.385E+01    1.275E-23    6.110E+02
2.399E+01    1.263E-23    6.049E+02
2.413E+01    1.250E-23    5.989E+02
2.427E+01    1.238E-23    5.931E+02
2.441E+01    1.226E-23    5.874E+02
2.455E+01    1.214E-23    5.817E+02
2.469E+01    1.203E-23    5.761E+02
2.483E+01    1.191E-23    5.705E+02
2.497E+01    1.179E-23    5.647E+02
2.512E+01    1.168E-23    5.591E+02
2.526E+01    1.156E-23    5.535E+02
2.541E+01    1.145E-23    5.480E+02
2.556E+01    1.134E-23    5.427E+02
2.570E+01    1.122E-23    5.373E+02
2.585E+01    1.112E-23    5.321E+02
2.600E+01    1.101E-23    5.270E+02
2.615E+01    1.090E-23    5.219E+02
2.630E+01    1.080E-23    5.169E+02
2.645E+01    1.070E-23    5.120E+02
2.661E+01    1.059E-23    5.071E+02
2.676E+01    1.049E-23    5.023E+02
2.692E+01    1.039E-23    4.976E+02
2.707E+01    1.030E-23    4.929E+02
2.723E+01    1.020E-23    4.883E+02
2.738E+01    1.011E-23    4.838E+02
2.754E+01    1.001E-23    4.794E+02
2.770E+01    9.919E-24    4.750E+02
2.786E+01    9.828E-24    4.706E+02
2.802E+01    9.738E-24    4.663E+02
2.818E+01    9.648E-24    4.621E+02
2.835E+01    9.560E-24    4.579E+02
2.851E+01    9.473E-24    4.538E+02
2.867E+01    9.387E-24    4.497E+02
2.884E+01    9.302E-24    4.457E+02
2.901E+01    9.218E-24    4.417E+02
2.917E+01    9.134E-24    4.378E+02
2.934E+01    9.052E-24    4.339E+02
2.951E+01    8.971E-24    4.301E+02
2.968E+01    8.890E-24    4.263E+02
2.985E+01    8.810E-24    4.225E+02
3.003E+01    8.731E-24    4.188E+02
3.020E+01    8.651E-24    4.150E+02
3.037E+01    8.573E-24    4.113E+02
3.055E+01    8.495E-24    4.076E+02
3.073E+01    8.418E-24    4.040E+02
3.090E+01    8.342E-24    4.004E+02
3.108E+01    8.266E-24    3.969E+02
3.126E+01    8.192E-24    3.934E+02
3.144E+01    8.118E-24    3.899E+02
3.162E+01    8.046E-24    3.865E+02
3.181E+01    7.973E-24    3.832E+02
3.199E+01    7.902E-24    3.798E+02
3.217E+01    7.832E-24    3.765E+02
3.236E+01    7.762E-24    3.732E+02
3.255E+01    7.693E-24    3.700E+02
3.273E+01    7.624E-24    3.668E+02
3.292E+01    7.556E-24    3.636E+02
3.311E+01    7.489E-24    3.605E+02
3.330E+01    7.422E-24    3.574E+02
3.350E+01    7.356E-24    3.543E+02
3.369E+01    7.293E-24    3.513E+02
3.388E+01    7.229E-24    3.484E+02
3.408E+01    7.167E-24    3.455E+02
3.428E+01    7.105E-24    3.426E+02
3.447E+01    7.043E-24    3.398E+02
3.467E+01    6.982E-24    3.369E+02
3.487E+01    6.921E-24    3.341E+02
3.508E+01    6.861E-24    3.313E+02
3.528E+01    6.801E-24    3.285E+02
3.548E+01    6.741E-24    3.258E+02
3.569E+01    6.683E-24    3.231E+02
3.589E+01    6.624E-24    3.204E+02
3.610E+01    6.566E-24    3.177E+02
3.631E+01    6.508E-24    3.150E+02
3.652E+01    6.451E-24    3.124E+02
3.673E+01    6.394E-24    3.097E+02
3.694E+01    6.338E-24    3.071E+02
3.715E+01    6.282E-24    3.045E+02
3.737E+01    6.226E-24    3.019E+02
3.758E+01    6.171E-24    2.994E+02
3.780E+01    6.114E-24    2.967E+02
3.802E+01    6.057E-24    2.941E+02
3.824E+01    6.001E-24    2.915E+02
3.846E+01    5.945E-24    2.889E+02
3.868E+01    5.890E-24    2.863E+02
3.890E+01    5.834E-24    2.837E+02
3.913E+01    5.779E-24    2.811E+02
3.936E+01    5.724E-24    2.786E+02
3.958E+01    5.670E-24    2.760E+02
3.981E+01    5.616E-24    2.735E+02
4.004E+01    5.562E-24    2.710E+02
4.027E+01    5.508E-24    2.685E+02
4.050E+01    5.455E-24    2.660E+02
4.074E+01    5.402E-24    2.635E+02
4.097E+01    5.350E-24    2.611E+02
4.121E+01    5.297E-24    2.586E+02
4.145E+01    5.245E-24    2.562E+02
4.169E+01    5.194E-24    2.538E+02
4.193E+01    5.142E-24    2.514E+02
4.217E+01    5.091E-24    2.490E+02
4.241E+01    5.041E-24    2.466E+02
4.266E+01    4.991E-24    2.443E+02
4.290E+01    4.941E-24    2.420E+02
4.315E+01    4.892E-24    2.397E+02
4.340E+01    4.843E-24    2.374E+02
4.365E+01    4.794E-24    2.351E+02
4.390E+01    4.746E-24    2.328E+02
4.416E+01    4.698E-24    2.306E+02
4.441E+01    4.650E-24    2.284E+02
4.467E+01    4.603E-24    2.262E+02
4.493E+01    4.556E-24    2.240E+02
4.519E+01    4.510E-24    2.218E+02
4.545E+01    4.465E-24    2.197E+02
4.571E+01    4.419E-24    2.176E+02
4.597E+01    4.375E-24    2.155E+02
4.624E+01    4.330E-24    2.134E+02
4.651E+01    4.286E-24    2.114E+02
4.677E+01    4.242E-24    2.093E+02
4.704E+01    4.199E-24    2.073E+02
4.732E+01    4.156E-24    2.053E+02
4.759E+01    4.114E-24    2.033E+02
4.786E+01    4.072E-24    2.014E+02
4.814E+01    4.030E-24    1.994E+02
4.842E+01    3.989E-24    1.975E+02
4.870E+01    3.948E-24    1.956E+02
4.898E+01    3.907E-24    1.937E+02
4.926E+01    3.867E-24    1.918E+02
4.954E+01    3.827E-24    1.899E+02
4.983E+01    3.787E-24    1.881E+02
5.012E+01    3.748E-24    1.863E+02
5.041E+01    3.710E-24    1.845E+02
5.070E+01    3.671E-24    1.827E+02
5.099E+01    3.633E-24    1.809E+02
5.129E+01    3.596E-24    1.792E+02
5.158E+01    3.559E-24    1.774E+02
5.188E+01    3.522E-24    1.757E+02
5.218E+01    3.485E-24    1.740E+02
5.248E+01    3.448E-24    1.723E+02
5.278E+01    3.412E-24    1.706E+02
5.309E+01    3.376E-24    1.689E+02
5.339E+01    3.341E-24    1.672E+02
5.370E+01    3.306E-24    1.656E+02
5.401E+01    3.271E-24    1.639E+02
5.433E+01    3.237E-24    1.623E+02
5.464E+01    3.203E-24    1.607E+02
5.495E+01    3.169E-24    1.592E+02
5.527E+01    3.136E-24    1.576E+02
5.559E+01    3.103E-24    1.560E+02
5.591E+01    3.070E-24    1.545E+02
5.623E+01    3.037E-24    1.530E+02
5.656E+01    3.006E-24    1.515E+02
5.689E+01    2.974E-24    1.500E+02
5.721E+01    2.943E-24    1.485E+02
5.754E+01    2.912E-24    1.471E+02
5.788E+01    2.881E-24    1.456E+02
5.821E+01    2.851E-24    1.442E+02
5.855E+01    2.821E-24    1.428E+02
5.888E+01    2.791E-24    1.414E+02
5.922E+01    2.761E-24    1.400E+02
5.957E+01    2.732E-24    1.386E+02
5.991E+01    2.703E-24    1.372E+02
6.026E+01    2.674E-24    1.359E+02
6.060E+01    2.646E-24    1.345E+02
6.095E+01    2.618E-24    1.332E+02
6.131E+01    2.590E-24    1.319E+02
6.166E+01    2.563E-24    1.306E+02
6.202E+01    2.535E-24    1.293E+02
6.237E+01    2.509E-24    1.280E+02
6.273E+01    2.482E-24    1.267E+02
6.310E+01    2.456E-24    1.255E+02
6.346E+01    2.430E-24    1.243E+02
6.383E+01    2.404E-24    1.230E+02
6.419E+01    2.379E-24    1.218E+02
6.457E+01    2.354E-24    1.206E+02
6.494E+01    2.329E-24    1.195E+02
6.531E+01    2.304E-24    1.183E+02
6.569E+01    2.280E-24    1.171E+02
6.607E+01    2.256E-24    1.160E+02
6.645E+01    2.232E-24    1.149E+02
6.683E+01    2.209E-24    1.137E+02
6.722E+01    2.186E-24    1.126E+02
6.761E+01    2.163E-24    1.115E+02
6.800E+01    2.140E-24    1.104E+02
6.839E+01    2.117E-24    1.093E+02
6.879E+01    2.095E-24    1.083E+02
6.918E+01    2.073E-24    1.072E+02
6.958E+01    2.052E-24    1.062E+02
6.998E+01    2.031E-24    1.052E+02
7.039E+01    2.009E-24    1.041E+02
7.079E+01    1.988E-24    1.031E+02
7.120E+01    1.967E-24    1.021E+02
7.161E+01    1.947E-24    1.011E+02
7.203E+01    1.927E-24    1.002E+02
7.244E+01    1.907E-24    9.920E+01
7.286E+01    1.887E-24    9.825E+01
7.328E+01    1.868E-24    9.731E+01
7.371E+01    1.849E-24    9.638E+01
7.413E+01    1.830E-24    9.545E+01
7.456E+01    1.811E-24    9.454E+01
7.499E+01    1.792E-24    9.363E+01
7.542E+01    1.774E-24    9.274E+01
7.586E+01    1.756E-24    9.185E+01
7.630E+01    1.738E-24    9.097E+01
7.674E+01    1.720E-24    9.011E+01
7.718E+01    1.702E-24    8.925E+01
7.762E+01    1.685E-24    8.840E+01
7.807E+01    1.668E-24    8.757E+01
7.852E+01    1.651E-24    8.674E+01
7.898E+01    1.635E-24    8.593E+01
7.943E+01    1.618E-24    8.512E+01
7.989E+01    1.602E-24    8.433E+01
8.035E+01    1.586E-24    8.354E+01
8.082E+01    1.570E-24    8.275E+01
8.128E+01    1.554E-24    8.197E+01
8.175E+01    1.539E-24    8.120E+01
8.222E+01    1.523E-24    8.044E+01
8.270E+01    1.508E-24    7.969E+01
8.318E+01    1.493E-24    7.894E+01
8.366E+01    1.478E-24    7.821E+01
8.414E+01    1.463E-24    7.748E+01
8.463E+01    1.449E-24    7.675E+01
8.511E+01    1.434E-24    7.603E+01
8.561E+01    1.420E-24    7.532E+01
8.610E+01    1.406E-24    7.461E+01
8.660E+01    1.392E-24    7.391E+01
8.710E+01    1.378E-24    7.321E+01
8.760E+01    1.364E-24    7.252E+01
8.810E+01    1.350E-24    7.183E+01
8.861E+01    1.337E-24    7.115E+01
8.913E+01    1.323E-24    7.047E+01
8.964E+01    1.310E-24    6.980E+01
9.016E+01    1.297E-24    6.914E+01
9.068E+01    1.284E-24    6.848E+01
