lambda       C_ext/H       K_abs
(micron)     (cm^2/H)     (cm^2/g)
---------    ---------    --line-------
9.605E-03    4.183E-22    1.101E+04
9.661E-03    4.185E-22    1.103E+04
9.716E-03    4.188E-22    1.106E+04
9.772E-03    4.191E-22    1.108E+04
9.829E-03    4.194E-22    1.111E+04
9.886E-03    4.197E-22    1.113E+04
9.943E-03    4.199E-22    1.116E+04
1.000E-02    4.202E-22    1.118E+04
1.006E-02    4.205E-22    1.121E+04
1.012E-02    4.207E-22    1.123E+04
1.017E-02    4.210E-22    1.126E+04
1.023E-02    4.213E-22    1.128E+04
1.029E-02    4.216E-22    1.131E+04
1.035E-02    4.218E-22    1.133E+04
1.041E-02    4.220E-22    1.135E+04
1.047E-02    4.223E-22    1.138E+04
1.053E-02    4.225E-22    1.140E+04
1.059E-02    4.227E-22    1.143E+04
1.065E-02    4.230E-22    1.145E+04
1.072E-02    4.232E-22    1.148E+04
1.078E-02    4.234E-22    1.150E+04
1.084E-02    4.236E-22    1.152E+04
1.090E-02    4.238E-22    1.155E+04
1.096E-02    4.240E-22    1.157E+04
1.103E-02    4.241E-22    1.160E+04
1.109E-02    4.242E-22    1.162E+04
1.116E-02    4.243E-22    1.165E+04
1.122E-02    4.244E-22    1.167E+04
1.128E-02    4.245E-22    1.170E+04
1.135E-02    4.244E-22    1.173E+04
1.142E-02    4.243E-22    1.175E+04
1.148E-02    4.241E-22    1.178E+04
1.155E-02    4.235E-22    1.181E+04
1.161E-02    4.224E-22    1.185E+04
1.168E-02    4.157E-22    1.192E+04
1.175E-02    4.175E-22    1.156E+04
1.182E-02    4.209E-22    1.157E+04
1.189E-02    4.228E-22    1.158E+04
1.195E-02    4.244E-22    1.160E+04
1.202E-02    4.259E-22    1.161E+04
1.209E-02    4.270E-22    1.164E+04
1.216E-02    4.281E-22    1.166E+04
1.223E-02    4.291E-22    1.169E+04
1.230E-02    4.300E-22    1.172E+04
1.237E-02    4.308E-22    1.175E+04
1.245E-02    4.316E-22    1.178E+04
1.252E-02    4.323E-22    1.181E+04
1.259E-02    4.330E-22    1.184E+04
1.266E-02    4.337E-22    1.187E+04
1.274E-02    4.343E-22    1.190E+04
1.281E-02    4.349E-22    1.193E+04
1.288E-02    4.355E-22    1.196E+04
1.296E-02    4.360E-22    1.199E+04
1.303E-02    4.365E-22    1.202E+04
1.311E-02    4.369E-22    1.205E+04
1.318E-02    4.365E-22    1.209E+04
1.326E-02    4.378E-22    1.206E+04
1.334E-02    4.386E-22    1.209E+04
1.341E-02    4.393E-22    1.212E+04
1.349E-02    4.400E-22    1.215E+04
1.357E-02    4.407E-22    1.218E+04
1.365E-02    4.414E-22    1.221E+04
1.372E-02    4.420E-22    1.224E+04
1.380E-02    4.427E-22    1.227E+04
1.388E-02    4.433E-22    1.230E+04
1.396E-02    4.439E-22    1.233E+04
1.404E-02    4.445E-22    1.237E+04
1.413E-02    4.451E-22    1.240E+04
1.421E-02    4.456E-22    1.243E+04
